V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14
3965.289887126517,4521.108698089446,4511.681243102088,4235.270355379182,4297.670611657809,3973.3626701274657,3571.3810809568204,4192.2158915128975,3785.6398860837658,4362.696542538928,4144.280720163101,4060.1992714046355,4421.023030181865,4297.70665475001
4185.504207170677,4245.465636699874,4077.920351816535,4485.929456913292,4108.808192351219,4125.633576280453,4190.484663772827,4247.59640631634,4261.307610733895,3903.030195375551,4265.716505632453,4113.874046701526,4286.0416563408435,4263.3969930166595
4018.406118133295,4259.770997927098,4259.86691360263,4399.315099567587,4268.771324485663,3885.929659781961,4286.020384710079,4251.747240548165,4329.157800701995,4325.42295930312,3818.9981694693784,4189.429622002154,4267.9590902536665,4544.890553748981
4458.692509559552,4367.191721589857,4324.390343616049,4181.098703929625,3900.140800316453,3834.85603145971,4353.652706338577,4213.518900072064,3965.201575370576,4231.164329366335,4375.662855947954,4360.936519225799,4325.580145254023,4110.171907741497
4327.670734582846,4251.590149953612,4296.168425527564,3939.622045430113,3778.9471107817735,4765.209216393362,4081.1912720408304,4065.5826754375016,4098.296601645383,4116.740014327616,4138.283798885377,4175.880488235118,3967.689045217769,4523.14921296079
4273.991412735603,4411.2856847847725,3934.3031876684963,3944.65469338618,4468.053822380749,4063.079825988228,3620.226873045432,4269.618589524911,4232.002415892703,4165.168155066159,4022.372645391677,4138.209641985426,4503.5516452908505,4343.317098458334
4100.498443385542,4617.501259676332,4080.886549604422,4359.91286405214,4183.974463884386,4221.04730074806,4141.061213800337,4430.404731080203,4563.883424497824,4102.992764196133,4158.649674697361,3975.9645364458875,3994.9260424921667,4325.945676174331
4304.892278890917,4438.982700518791,4119.460515657457,3844.2429825513914,4468.809145122424,3966.619798027952,4555.27007333398,4194.081084896395,3920.1183824507602,4205.420647955315,4100.818273492712,4172.369484190124,3902.362076591519,4295.8682401698725
4211.573187122721,4051.614790926397,4564.056286852075,3588.366223619326,3940.8580787053033,4306.478057503104,4188.1037236227585,4033.041455040041,3898.760634887236,4264.673731385508,4059.885999212545,4055.4460140772603,4230.718461936687,4138.842529642489
4290.908463739708,4227.90436237617,4282.26631385046,4170.272974565676,4649.574830305233,3861.711989685145,4212.090345677001,4258.409539773843,4084.0942513866653,4467.305836417859,4396.3566792954225,4259.803461413548,4053.679922705326,4269.42462033869
4402.46762813184,4629.257316553032,4268.580102540658,4459.940017909479,4145.987686413575,3858.8877225302385,4507.489643664619,4084.4508048194725,4370.888190004056,4518.5447947390785,4103.092261063669,4366.67064143758,4124.127998527623,4178.520761483054
4221.062671264797,4117.603559728783,4206.390872886798,4346.266351835379,4320.059677128905,4149.202895030357,4274.185829210015,4198.977136278688,3966.675635276111,4072.3644295575627,4103.006421119752,4148.28076283298,3724.509038996675,4394.240562336434
4124.544328590488,4506.117115253934,4055.5033526466586,4174.435260414374,3959.9315296153595,4263.661551985242,3940.604365733822,4507.151911266909,4008.1049697211574,4192.507421399489,4332.773878112366,4229.686980617787,4167.58973432649,4381.9628781185875
4061.186933230419,4037.483442037372,4052.5261708865105,4296.517977610782,4339.860419915557,3866.6274254456443,4053.822124408697,4068.898724808838,4466.942849924802,4266.6781893218595,4032.9609347968867,4100.95188093374,4432.953184088741,4304.327103209787
4008.2377353625775,4083.8027401962213,4411.69384515244,4446.939382467831,4445.816030421226,4433.445901919724,3839.1005348582494,4087.742101570972,4146.170880965547,4272.432799152062,4064.034672099895,4188.295846944806,4298.685957349378,4034.380856777154
4093.7393962085584,4275.012462369974,4356.76670558822,3895.515451153351,4156.615712790106,4183.534071736302,4029.9600542989574,4319.607949123578,4197.169465238503,4355.30000958808,4210.256022760339,4371.618216369267,4551.9007822679805,4218.950386925304
3948.1129317526447,4377.912245840369,4277.918265307513,4266.453201703809,3865.3727495949065,4566.468733095929,3652.8578367853015,4148.973281876664,3994.002761770408,3776.347788660358,4222.678971405284,4183.045860730356,4277.002977499105,4211.601604845269
4179.606153345217,4178.91280509409,4086.5595097511814,4323.603423381471,4632.533630891939,4385.975468197571,4150.440935965455,4379.25523757598,3928.7274572880706,4357.51707377263,4319.017910142762,4239.965624384347,4000.742252489948,4263.880380231642
4180.689014620867,4663.224169017419,4416.014671657102,4360.59433749658,3727.0663883698912,4225.064536164418,4097.458688028465,4135.142789143325,4228.596050060081,4119.374417913614,4161.330781669336,4281.17471284302,4000.915602192486,4352.0581709923545
4222.088087313958,4231.690049346624,4200.143348486676,4368.682955490513,4516.895482601649,4153.435435868631,4241.386540061854,4387.488663718305,4014.355605064092,4274.240981425226,3876.73624808695,4203.668301602576,4085.1014910253766,4184.094348054176
3774.891320335356,4114.818677972131,3970.0891510379524,3953.287395403967,4234.185603546942,4028.148948766009,4071.5321743324184,3838.4563719155703,3928.850407668095,4350.612026306682,4258.138137617233,4218.401724110583,4236.950725990466,4551.543626577408
4085.5537729203647,4221.621057294015,4148.256988632248,4002.4056902010598,3989.0132317866382,4057.3292664665532,4222.496653689052,3962.599055933528,3327.0918914746517,4205.2385353511245,4253.253629738145,4163.767769419145,4160.398897508148,4278.976922329065
4038.9998666378033,4269.452580072854,4262.023122332446,4464.258049680301,4029.38943457347,4323.053330729336,4063.0187553882424,4170.743926754647,4216.338413069613,3883.1937730006343,4336.661898651301,4035.056379846583,4104.361385811185,3814.196620020949
4426.328016965443,4085.5187084248346,4157.9039209600605,4063.178819753327,3740.1226181790444,4142.639864391366,3987.2359970576367,4179.516169003161,3906.0519427762283,4067.1401833070827,3784.082724361654,4154.142569539692,4611.482524586865,4437.4355570358775
4097.900697920982,4474.0022775243715,4120.145818427916,4357.3195452650125,4317.3362307525995,3898.997521688832,3791.967656159155,4591.616262527468,3991.2670175237886,4379.609368828297,4398.18048794838,4151.458211761286,4351.96164693782,4092.2728896064273
4331.252159229022,4273.0581788309255,4340.26544823797,4101.889945134189,4347.366476766136,4398.399868796842,4485.245553598167,4324.39941047156,4184.734001610364,3991.0886054255025,4220.528278439465,4229.979449215368,4209.555113667047,4169.739493515039
4171.476702063456,4333.2902104297355,4437.246321212549,4238.410897773706,4217.6878025727065,3932.4152650861065,4349.8645030175185,4299.160704321262,4325.097247703872,4367.378004716032,3987.909153849315,4079.7482227673054,4105.936010161715,3924.5880285709513
4256.1792834178805,4333.336096178074,4082.9248400611327,4008.708981002029,4141.850237549019,4375.300971465385,4094.98626881567,3924.3304156909794,4160.027195705223,4586.2298016783425,4067.972779604465,4280.149900685003,4683.4716329369485,4238.292230281789
3940.62136378674,4757.512298422979,4208.4591246438595,4403.497828140107,3880.3630288164777,4139.106245190373,4087.797918530666,4144.413491716946,3956.724583171627,3786.7937389663975,4227.6342781464955,4249.242981266718,4269.641496191668,4253.796045635364
4315.2394704242115,4031.542062631976,4324.970306138822,4080.37920349254,4295.428451881243,4459.481507566086,4011.578801454489,4332.86385601105,4174.0841854293085,4336.130459121447,4008.1307818888504,4551.358337249865,4135.894637574794,4314.601399262386
4237.313965888608,3932.2612994776796,4413.968673604501,4203.070094317702,4014.168547512702,3969.446284145522,4039.904268652517,4165.4476542160055,4470.761000667529,4278.780768968746,4316.431274150473,4115.820673960675,4181.166550973851,4347.860945224931
4393.76705487439,4234.244464399979,4310.951527464039,3874.2998136573506,4252.124000082094,4075.357608221463,3842.5858411079316,4192.9937501440045,4248.4441570097915,4347.805710829928,4355.030552910828,4087.3909471856396,4347.996786665123,4119.320065970176
4518.063036845808,3945.5693838602874,4105.245473547688,3864.894958364852,3896.098592271098,4382.9826753680745,4390.862760717587,4080.3818771564884,3987.2265570802083,4092.881242668,4143.899690651849,4092.287779039643,3863.436895253814,4000.1958011930656
4167.284310917532,4060.9729551896694,4175.342116499775,4434.5699197616495,4308.3385344461985,4247.306829347772,4079.3406593522964,3954.9667660543214,4113.108146728386,3998.997246727892,4267.3177692604095,4081.275179492066,4050.344578690499,4090.399082064479
4010.747138328618,4552.345962320142,4211.235522168649,4058.2021584702707,4188.498124801222,4204.66686283393,3932.4086976885833,4111.8005974219,4008.799292101514,4279.620245945285,3885.379331586092,4092.5222640188026,3983.2017110052866,4276.520989068569
4169.997187212445,4143.683639413802,4252.7766453794875,3987.261509809578,4497.26489346637,4722.89354162462,3857.8380500939174,4280.418508823863,4178.423386462813,3911.5799089445313,4351.374332654076,4110.686210130529,4256.744155235856,4285.5368297300565
4487.443760718117,4287.867786347312,3938.16345621432,4366.780495375679,4422.1152458386305,4344.332165411475,4154.57220511806,4075.410948916363,4008.475665312402,4713.33774391917,3936.369443597292,4187.116630720352,4305.182565454385,4054.6930198172745
4262.454581259928,4360.264107300582,4143.112686633388,4351.945503789537,4385.582146469397,4324.632661199515,4767.679145086008,4207.692733778854,4258.6048089311025,4160.52734454566,4209.382317668534,4063.0380145239546,4101.682784315072,3980.42425169033
4193.613768131928,4051.9799475789987,4125.386836863108,4178.822348974973,4407.992705798693,4163.573336731874,4032.141540065032,4009.077444584306,4331.195853078594,4419.947313907558,4290.1291888260885,4217.308659346865,3931.714059349575,4108.478276347835
4209.899749166227,3878.6205530276156,4138.153219505401,4385.167475076075,4200.2959281902895,4126.685686644356,4048.6129244459253,3962.2912327464746,4240.221941921457,4085.3446654016493,4331.814067327161,4121.797957757771,4175.07440212817,4354.416331397307
4407.37516999805,4171.731356129189,3947.4303707203826,3965.034068098178,4233.040106211253,4173.975781583999,4000.7431279539387,4174.421349896321,4032.5049806942484,3989.4016843124073,4608.370368158437,4110.739580062667,3918.361106086611,3955.4223487856775
4299.615478141085,4156.857690944551,4121.423934123241,4187.942695940344,4163.571773918366,4228.142769704843,4055.9552933871987,3959.6492976654604,4156.770352383087,4360.556639069103,4285.569906387861,4182.757950487047,4147.725516585598,4249.302354789008
4145.405482352172,4518.744355783736,4306.051052813558,4635.504935140513,3682.0792590163055,4253.275266897612,4249.940088891247,3948.439582638105,4228.928942529115,4313.105747123228,4158.008727959558,4294.6689497025445,4369.270608395972,4181.560252692315
4157.718995507057,3966.697319292821,4276.8387090728975,3862.460287530726,4223.258413243997,4553.535717834447,4391.193405812781,4094.958138009427,4172.8389170127,4441.305116768799,4038.440263150772,4169.697111556239,4656.708387360742,3950.0766392796368
4411.909984331056,4185.842497571713,3990.6670694728073,3995.335839591441,4188.108072159323,3917.204644618242,3969.8334502861085,4538.448350594326,4044.8880427373706,4186.297018569484,4257.634873185914,4121.691237384253,4363.2512654827815,4004.587221246254
4193.710347666132,4029.8273494224572,4012.462528845832,3946.9963595379154,3711.63316598482,4431.6238652077345,4503.920460525477,4169.464074574176,4346.248073876658,4264.057655116911,4458.934828936078,4330.324598887694,4281.19703879037,4062.553187593037
4174.059398010348,4291.589346577623,4058.8721817277815,3582.787442352256,4460.54912345771,4196.587515887676,4500.268365799523,4081.3529180161695,4200.259822013077,4149.7690913000315,4250.556877160791,4196.097849517408,3701.5864045013313,4286.574137602501
4269.015754629849,4127.795719338501,4229.648241794228,3951.2524394924776,4374.158661405313,4144.746717515367,4377.067163518662,3714.07900564974,4360.9667371148935,3960.801441601089,4386.982242283347,4368.117177167405,4341.062965120078,4204.367675346643
4078.092516841634,4498.641967966423,4318.223160914601,4118.097032262299,4081.83281811255,4068.747570559578,3883.135752486447,4461.054176008166,3864.4444952390386,4180.738248792238,3930.6204822770533,4308.009400286976,3766.4447035939907,4024.2553115314763
4180.545598840594,4305.7147395469065,4172.773761772572,4399.249365741222,4454.28724690096,3988.3307859243305,4335.955010517238,4411.0014542777935,3959.998944608717,3875.149095385326,4413.639693643216,4188.350267560005,4034.1804423353883,4564.944167631816
4026.255077516268,3973.8276626541883,4016.430474104083,4219.902743096919,4340.883085394802,4038.5513084178588,4268.194323547732,4242.729026254039,4294.7870655011475,4115.225404752751,4296.404256893833,4527.433716517162,4348.372518659104,4327.218462226692
4285.624968725441,4048.867389030639,4421.190713040349,4127.570098749888,3839.92879767182,3865.1519871818637,4059.0877931723576,3776.0826537760117,4028.475576463342,4234.076432873905,4099.562732851777,4128.600806733585,4060.4859247625986,4141.557600323944
