AF3,F7,F3,FC5,T7,P7,O1,O2,P8,T8,FC6,F4,F8,AF4
4252.8026718547335,4234.88358205539,4153.842490272374,4214.33905882353,4163.593172350652,4139.4696162355995,4141.025470817121,4140.013762111848,4126.165237811856,4110.769723811703,4248.732286564431,4203.083097886625,4012.304119172961,4238.962393987945
4263.066744487678,4242.551318684673,4156.922036316472,4225.644885328451,4150.244581826504,4139.4696162355995,4139.999525291829,4156.395683222705,4147.164372014953,4126.144728007935,4254.871880979629,4204.6228992141605,4034.8651641107804,4247.701797055009
4270.764798962386,4251.288114747845,4158.965473411155,4230.7740462348365,4148.18743602655,4134.883704127566,4130.7660155642025,4146.659258411536,4153.841197222858,4140.013050278477,4264.115006637675,4207.70250186923,4051.785947814145,4254.373814450293
4271.278002594033,4248.707626459144,4161.037691309987,4233.33862668803,4166.656033875028,4141.033803311208,4129.740070038911,4136.397375753414,4141.006471046006,4140.526691844053,4250.756328679332,4208.215768978408,4052.8277795071335,4253.8413060196835
4257.934708171206,4237.943303883421,4157.958145265889,4228.209465781644,4183.570343785763,4154.364943160144,4138.973579766537,4156.395683222705,4149.240068970778,4139.499408712902,4244.616734264134,4201.030029449912,4045.642733348592,4241.029779659723
4238.978249027237,4228.727274280919,4146.158015564202,4212.821983062486,4177.44462073701,4152.303060196842,4139.504241245137,4157.9411474784465,4164.081302204929,4140.013050278477,4249.238297093157,4192.304488593881,4036.4099490348667,4222.579928740368
4226.661361867704,4216.414658731976,4139.480869001298,4199.999080796521,4161.0331686884865,4145.122019531548,4140.530186770428,4141.528317082475,4168.717025406271,4140.013050278477,4238.477139848936,4189.73815304799,4034.3622108796826,4209.235893949797
4212.8048638132295,4205.650336156253,4134.357885862517,4198.987696955825,4157.970307164111,4140.002861829557,4138.973579766537,4154.355670405127,4161.036946669718,4141.553974975204,4226.164216983291,4189.73815304799,4035.906995803769,4199.494122072175
4198.467237354085,4200.010126039521,4123.593865110247,4201.010464637217,4167.707463950561,4128.733604943924,4123.089112840467,4171.788507209888,4145.642194247348,4140.013050278477,4228.728003662165,4190.251420157168,4034.8651641107804,4186.682595712215
4197.954033722438,4192.305525291829,4124.111919584955,4197.434500343328,4171.273183337148,4133.8527626459145,4128.714124513619,4170.243042954146,4149.724398260471,4141.553974975204,4232.303811398489,4193.331022812237,4037.954733958953,4185.116394445716
4206.165291828794,4191.273329976349,4137.4374319066155,4198.445884184024,4169.216037537193,4162.5769253070885,4157.44059922179,4167.677572289616,4184.111777828641,4157.442620737011,4234.867598077363,4195.897358358129,4046.6845650415808,4191.287227435721
4195.388015564202,4194.88601358053,4135.393994811933,4202.057969329367,4172.32461341268,4173.846182192722,4161.013719844358,4157.446598916609,4190.754008087281,4160.010828564889,4230.752045777066,4190.251420157168,4043.0920419623103,4176.408315403983
4171.78064850843,4180.509007400626,4118.470881971466,4191.293955596247,4173.833186999313,4166.665141527428,4149.763696498055,4150.2447354848555,4164.081302204929,4141.040333409628,4215.369325703822,4186.145283283741,4028.7219496452276,4153.32250873579
4164.595797665369,4165.652767681392,4115.909390402076,4181.541325703823,4169.216037537193,4168.72702449073,4153.336817120623,4170.243042954146,4170.758127412832,4140.013050278477,4210.781496910048,4186.145283283741,4029.7278561074236,4151.286447089341
4171.267444876783,4169.228587167163,4122.0397016861225,4187.176178530557,4169.764609750515,4175.3748195620665,4159.492490272373,4181.0303834592205,4189.231830319676,4156.9289791714355,4215.909070267796,4183.578947737849,4044.097948424506,4156.423587243457
4168.701426718547,4173.320504310674,4117.952827496758,4188.187562371252,4174.381759212634,4175.908065156024,4157.935883268483,4166.16301731899,4178.472801098649,4151.792563515679,4204.102157930876,4182.552413519493,4043.0920419623103,4146.1493069352255
4155.390207522697,4170.260782482643,4108.714189364462,4181.541325703823,4174.381759212634,4165.136504158084,4155.883992217899,4164.092095216297,4163.07804867628,4129.740218966964,4183.591864499886,4176.906475318532,4033.859257648585,4130.769210498207
4148.718560311284,4165.136670023651,4106.67075226978,4182.047017624171,4168.713179674983,4154.862639047838,4153.832101167315,4173.3339714656295,4171.2770516517885,4133.335709925994,4179.476312199588,4172.315586175326,4045.1397801174944,4125.130885938811
4153.337392996108,4157.9481669337,4111.2756809338525,4183.058401464867,4168.210321812771,4163.074621194782,4155.388708171206,4165.6375594720375,4179.476054627298,4151.792563515679,4184.603885557336,4178.4462766460665,4059.473947203784,4124.629701533531
4154.87700389105,4154.372347447928,4111.793735408561,4174.85896818494,4176.393190661478,4171.286603341727,4150.258980544747,4158.466605325399,4169.754873884183,4142.581258106356,4184.603885557336,4182.039146410315,4061.0187321278704,4121.5286230258635
4152.310985732814,4158.98036224918,4109.750298313878,4176.917856717785,4185.124631723506,4168.72702449073,4143.077361867705,4163.0720888075075,4161.521275959411,4124.603803311208,4180.522067292287,4179.472810864423,4068.7067315175095,4121.5286230258635
4152.310985732814,4165.136670023651,4109.23224383917,4183.058401464867,4191.296069123369,4168.193778896773,4150.258980544747,4158.961153887236,4167.679176928358,4132.822068360418,4173.842728313115,4175.3951888303955,4078.9813475242236,4123.094824292362
4147.692153047989,4156.915971618219,4105.6346433203635,4172.800079652095,4188.736065461204,4170.255661860076,4156.414653696498,4153.335663996338,4167.160252689402,4140.526691844053,4167.703133897917,4173.342120393682,4074.8858712138554,4114.887929655909
4139.480894941634,4138.4470482948045,4103.591206225681,4162.577878690777,4182.564628061341,4167.162837415122,4154.858046692607,4164.617553063249,4158.442325474937,4130.25386053254,4168.2091444266425,4175.908455939574,4071.796301365682,4111.285666742961
4137.941284046692,4137.930950637065,4105.6346433203635,4168.21273151751,4185.627489585717,4170.255661860076,4161.544381322958,4174.353977874418,4168.717025406271,4129.226577401389,4170.266920576791,4179.472810864423,4089.7589167620354,4120.526254215304
4142.560116731517,4152.824054474709,4106.152697795072,4170.235499198901,4187.18177752346,4173.846182192722,4170.2472295719845,4163.0720888075075,4172.799229419394,4139.499408712902,4169.727176012818,4183.578947737849,4107.6856069275955,4125.130885938811
4147.692153047989,4157.432069275959,4110.2683527885865,4169.224115358206,4183.570343785763,4169.7579659723815,4169.221284046693,4165.1430109102,4159.480173952849,4146.656147859922,4173.33671778439,4185.6320161745625,4103.590130617227,4122.061131456473
4147.178949416342,4147.699942015717,4119.99626459144,4170.235499198901,4185.124631723506,4171.78429922942,4172.829782101167,4186.655873350118,4167.160252689402,4138.47212558175,4169.727176012818,4187.171817502098,4094.357346303502,4122.061131456473
4138.454487678339,4136.935619439994,4116.916718547342,4158.460101625086,4184.621773861295,4165.634200045778,4167.169392996109,4182.575847714961,4170.758127412832,4116.933422598611,4153.838445410849,4184.605481956207,4085.627515220874,4113.32172838941
4132.80924773022,4135.387326466774,4108.196134889754,4149.7549764248115,4174.381759212634,4149.245785458153,4148.737750972763,4157.9411474784465,4148.721144731822,4109.742440680552,4140.513501487754,4181.012612191958,4083.0768238345922,4103.579956511788
4133.322451361867,4136.4195217822535,4116.398664072633,4155.895521171893,4168.713179674983,4158.986404974442,4147.181143968872,4148.730180514229,4141.525395284962,4121.0425551232165,4139.501480430305,4185.118749065385,4087.6752533760587,4105.647342183565
4135.375265888456,4132.806838178073,4125.119247730221,4157.954409704738,4173.833186999313,4181.027222858015,4156.909937743191,4152.8102061493855,4154.87904570077,4119.50163042649,4144.0893092240785,4186.145283283741,4087.6752533760587,4107.182219424734
4142.04691309987,4139.479243610284,4125.119247730221,4160.0132982375835,4181.010340123597,4181.027222858015,4154.858046692607,4156.921141069657,4166.156999160754,4123.062878614481,4151.7806692607,4188.198351720454,4092.3096081483177,4109.7507895017925
4151.28457846952,4155.8837763027395,4132.314448767835,4169.224115358206,4185.124631723506,4166.167445639735,4151.284926070039,4163.0720888075075,4165.638074921797,4148.710714122225,4164.093592126344,4198.976961013199,4115.912484779125,4122.562315861753
4153.337392996108,4153.8562497901885,4136.919377431907,4172.294387731747,4185.124631723506,4156.391276417182,4152.310871595331,4169.223036545358,4154.360121461814,4149.2243556878,4164.59960265507,4201.54329655909,4128.198913710231,4126.1645787747
4149.744967574578,4145.635551384757,4133.321776913101,4175.906472877089,4184.621773861295,4160.515042343786,4154.858046692607,4169.223036545358,4159.480173952849,4128.7129358358125,4156.402232089723,4192.817755703059,4118.463176165407,4116.9239913023575
4152.310985732814,4153.8562497901885,4136.919377431907,4181.035633783475,4187.18177752346,4173.348486305028,4167.169392996109,4167.677572289616,4180.51390310521,4134.87663462272,4156.402232089723,4193.331022812237,4120.0079610894945,4116.9239913023575
4150.771374837873,4158.46426459144,4136.401322957199,4172.294387731747,4183.067485923552,4172.815240711071,4173.855727626459,4167.183023727779,4174.874926375219,4156.9289791714355,4157.4479871824215,4196.410625467307,4126.654128786145,4121.5286230258635
4144.099727626459,4147.699942015717,4128.716848249028,4164.09495445182,4174.884617074845,4162.5769253070885,4159.492490272373,4170.7685008010985,4159.999098191805,4155.388054474708,4153.838445410849,4194.357557030594,4122.558652475776,4122.061131456473
4144.099727626459,4140.511438925765,4130.242230869002,4163.589262531472,4177.44462073701,4165.634200045778,4148.2070894941635,4172.31396505684,4175.393850614176,4141.040333409628,4155.390211032272,4194.870824139773,4122.558652475776,4123.094824292362
4144.099727626459,4143.091927214466,4129.752957198444,4162.577878690777,4180.004624399176,4171.286603341727,4154.858046692607,4170.243042954146,4185.633955596246,4142.581258106356,4153.332434882124,4193.844289921416,4121.01386755169,4118.991376974136
4145.126134889753,4151.791859159228,4127.191465629054,4166.153842984665,4177.44462073701,4169.2247203784245,4164.622217898833,4170.7685008010985,4175.393850614176,4138.9857671473255,4142.065267109178,4190.251420157168,4117.421344472419,4110.251973907072
4148.205356679637,4154.888445105669,4132.832503242543,4170.7773119707035,4184.1189159990845,4170.255661860076,4170.2472295719845,4166.657565880827,4171.7959758907455,4130.25386053254,4144.0893092240785,4191.791221484703,4119.505007858396,4108.215912260624
4145.6393385214005,4152.824054474709,4136.919377431907,4168.718423437858,4189.741781185626,4174.343878080415,4171.803836575876,4164.092095216297,4170.758127412832,4149.2243556878,4158.966018768597,4196.410625467307,4123.6004841687645,4117.957684138247
4145.6393385214005,4161.00788876173,4136.919377431907,4176.917856717785,4182.06177019913,4185.648684672313,4170.2472295719845,4171.293958648051,4174.874926375219,4170.249417105363,4169.221165484092,4199.490228122377,4132.294390020599,4127.1982716105895
4153.850596627755,4173.320504310674,4135.883268482491,4188.187562371252,4185.627489585717,4188.705959411002,4172.299120622568,4174.353977874418,4186.152879835202,4157.956262302587,4167.163389333944,4199.490228122377,4140.521267872129,4125.632070344091
4154.87700389105,4172.325173113603,4131.7963942931265,4186.670486610209,4201.033225909819,4175.908065156024,4172.299120622568,4171.293958648051,4185.11503135729,4147.169789425498,4157.953997711147,4194.357557030594,4133.336221713588,4115.389114061189
4144.099727626459,4165.652767681392,4127.680739299612,4179.988129091325,4204.598945296406,4166.167445639735,4158.961828793775,4168.2030301365685,4177.953876859693,4162.065394827191,4150.76864820325,4189.73815304799,4123.6004841687645,4107.683403830014
4143.073320363164,4164.620572365911,4125.637302204929,4179.482437170977,4195.913218585489,4168.72702449073,4151.780210116732,4164.617553063249,4182.555005111772,4170.249417105363,4157.953997711147,4193.331022812237,4133.336221713588,4112.319359578851
4151.797782101166,4167.680294193942,4128.716848249028,4183.600214236668,4189.741781185626,4168.193778896773,4157.935883268483,4171.293958648051,4187.190728313115,4158.469903868162,4168.715154955367,4196.923892576486,4147.706314030671,4119.492561379416
4157.443022049286,4168.712489509423,4136.401322957199,4185.62298191806,4191.296069123369,4165.136504158084,4154.858046692607,4188.7267954528115,4184.596107118334,4153.8471297779815,4169.221165484092,4202.056563668269,4151.298837109941,4125.632070344091
4161.548651102464,4169.228587167163,4139.480869001298,4185.62298191806,4189.741781185626,4173.846182192722,4151.780210116732,4190.241350423438,4183.592853589685,4160.010828564889,4167.703133897917,4203.596364995804,4153.849528496224,4132.304087739376
4166.648612191958,4175.900992599374,4136.401322957199,4185.62298191806,4188.736065461204,4185.115439078356,4170.777891050584,4176.919448538949,4185.633955596246,4166.653926146334,4173.33671778439,4200.0034952315555,4156.939098344396,4137.4412278934915
4165.622204928663,4185.117022201877,4137.4374319066155,4187.681870450904,4197.970364385443,4187.675017929351,4188.714249027237,4176.919448538949,4191.7918565651935,4169.735775539788,4174.34873884184,4200.516762340734,4156.939098344396,4138.97610513466
4160.009040207522,4184.600924544136,4136.919377431907,4186.164794689861,4205.650375371938,4185.115439078356,4182.558575875487,4182.575847714961,4188.193981841764,4169.222133974212,4169.727176012818,4198.976961013199,4156.939098344396,4135.9063506523225
