source,target,token
1,2,club
1,2,following
1,2,pickwick
1,2,tupman
2,3,club
2,3,member
2,3,pickwick
2,3,tupman
3,4,association
3,4,ethical
3,4,patrick
3,4,pickwick
3,4,product
3,4,samuel
3,4,science
3,4,speculations
3,4,tupman
4,5,association
3,5,club
4,5,patrick
4,5,pickwick
4,5,samuel
4,5,tupman
3,6,approval
5,6,association
5,6,proposal
3,6,said
1,7,after
5,7,club
5,7,corresponding
1,7,first
1,7,last
3,7,observations
1,7,papers
5,7,patrick
5,7,pickwick
3,7,same
5,7,samuel
5,7,society
1,7,time
5,7,tupman
7,8,after
6,8,association
7,8,corresponding
7,8,day
7,8,first
7,8,last
7,8,majority
3,8,member
7,8,members
6,8,said
7,8,same
7,8,society
7,8,time
5,9,aforesaid
8,9,association
8,9,corresponding
8,9,majority
8,9,members
6,9,proposal
8,9,society
8,10,after
3,10,basis
9,10,being
7,10,club
1,10,dark
8,10,day
4,10,ethical
4,10,experience
8,10,first
2,10,following
9,10,great
3,10,hampstead
4,10,knowledge
8,10,last
4,10,literature
4,10,man
3,10,moral
5,10,new
4,10,observation
5,10,other
7,10,pickwick
3,10,ponds
3,10,practical
4,10,product
2,10,resolutions
7,10,rip_van
4,10,science
4,10,scientific
7,10,snodgrass
3,10,source
3,10,theory
8,10,time
1,10,tint
1,10,tints
4,10,travels
7,10,tupman
7,10,winkle
10,11,being
10,11,club
1,11,entry
10,11,great
10,11,interesting
10,11,men
10,11,mr
10,11,other
10,11,pickwick
1,11,transactions
10,11,tupman
10,12,air
10,12,attachments
10,12,basis
11,12,being
11,12,celebrated
10,12,cheek
10,12,ethical
10,12,failings
3,12,feelings
4,12,field
10,12,formulas
4,12,functions
10,12,genuine
7,12,give
11,12,great
3,12,heard
10,12,human
10,12,known
10,12,looked
7,12,make
10,12,man
9,12,minds
10,12,moral
11,12,mr
8,12,own
10,12,passion
11,12,pickwick
10,12,poetic
10,12,practical
10,12,product
4,12,production
4,12,researches
10,12,rip_van
10,12,science
10,12,secretary
10,12,self
10,12,snodgrass
7,12,take
10,12,theory
8,12,travelling
11,12,tupman
10,12,turned
10,12,vanity
10,12,weaknesses
10,12,winkle
10,12,world
10,13,chair
12,13,come
10,13,could
12,13,cries
10,13,did
12,13,go
10,13,holding
12,13,honourable
12,13,take
12,14,being
12,14,great
13,14,honourable
12,14,pickwick
12,14,tupman
14,15,being
13,15,chair
12,15,cheering
13,15,cries
12,15,do
14,15,great
13,15,holding
12,15,know
13,15,order
12,15,say
12,15,tell
12,15,think
12,15,why
10,16,call
15,16,chair
11,16,club
15,16,do
10,16,hear
15,16,holding
15,16,know
9,16,majority
9,16,members
15,16,order
13,16,rose
15,16,say
12,16,snodgrass
15,16,think
15,16,why
3,17,chairman
10,17,countenance
10,17,expression
15,17,hon
10,17,use
16,18,chair
16,18,holding
10,18,regard
10,18,respect
17,18,sure
17,19,chairman
17,19,countenance
17,19,expression
4,19,feeling
12,19,felt
14,19,gentleman
14,19,honourable
4,19,sense
16,20,call
19,20,feeling
19,20,gentleman
10,20,had
16,20,hear
1,20,highest
19,20,honourable
15,20,humbug
18,20,regard
18,20,respect
19,20,sense
19,20,used
5,20,view
10,20,was
11,21,bear
12,21,brother
12,21,cheers
10,21,fair
19,21,felt
12,21,friend
10,21,full
20,21,honourable
7,21,observations
12,21,own
14,21,pickwick
14,21,tupman
11,22,debate
10,22,enthusiasm
12,22,enthusiastic
11,22,entry
10,22,form
12,22,genuine
9,22,letters
11,22,other
20,22,point
10,23,above
15,23,being
10,23,beneath
10,23,burst
10,23,buttons
10,23,cap
10,23,cloth
10,23,clouds
10,23,coat
10,23,dark
10,23,discoveries
16,23,drew
16,23,dropped
12,23,fire
10,23,found
5,23,given
15,23,great
10,23,hand
10,23,hat
10,23,head
18,23,holding
10,23,jacket
10,23,left
1,23,light
12,23,look
12,23,looked
12,23,looking
11,23,men
12,23,mr
10,23,night
12,23,open
7,23,patrick
21,23,pickwick
14,23,put
7,23,samuel
10,23,sleeves
9,23,such
5,23,taken
16,23,threw
10,23,trousers
21,23,tupman
12,23,turned
10,23,vest
10,23,waistcoat
10,23,watch_chain
10,23,woollen
12,23,world
9,23,worthy
23,24,pickwick
8,24,said
23,24,tupman
10,25,after
1,25,before
10,25,buttoned
23,25,cap
23,25,coat
10,25,collar
10,25,first
23,25,hat
12,25,human
23,25,jacket
10,25,last
23,25,looked
23,25,looking
23,25,mr
24,25,pickwick
23,25,portmanteau
1,25,public
12,25,race
8,25,same
10,25,smoked
10,25,specimen
10,25,time
24,25,tupman
23,25,turned
25,26,pickwick
24,26,said
25,26,tupman
21,27,brother
25,27,cab
12,27,cried
21,27,friend
25,27,waterman
27,28,brother
10,28,chin
27,28,friend
25,28,mr
10,28,nose
26,28,pickwick
26,28,tupman
27,29,driver
23,30,book
29,30,driver
10,30,eyes
10,30,face
10,30,former
23,30,hand
23,30,head
1,30,laying
23,30,letter
25,30,looked
25,30,looking
12,30,man
28,30,mr
23,30,note
23,30,noted
28,30,pickwick
22,30,statement
28,30,tupman
25,30,turned
25,31,after
10,31,day
25,31,first
27,31,information
28,31,inquired
25,31,last
30,31,mr
30,31,pickwick
25,31,time
30,31,tupman
29,32,answered
30,32,man
29,32,replied
30,33,book
30,33,letter
31,33,mr
30,33,note
31,33,pickwick
26,33,said
31,33,tupman
10,34,account
30,34,driver
12,34,observed
34,35,account
34,35,humiliation
33,35,pickwick
30,35,reiterated
34,35,selfishness
33,35,tupman
34,35,weakness
27,36,cab
13,36,come
34,36,driver
13,36,go
13,36,take
34,36,takes
12,36,took
20,37,answer
26,37,asters
33,37,book
16,37,club
10,37,communicating
26,37,cross
26,37,daffodils
36,37,driver
11,37,entered
22,37,entry
26,37,flowers
26,37,golden
36,37,got
12,37,horses
26,37,hyacinths
10,37,illustrious
10,37,leader
33,37,letter
10,37,life
26,37,lilies
33,37,mr
33,37,note
26,37,pansies
35,37,pickwick
12,37,rip_van
26,37,roses
16,37,snodgrass
30,37,statement
26,37,sweet_peas
35,37,tupman
12,37,vehicles
20,37,view
12,37,winkle
20,37,word
26,37,wrens
18,38,chair
23,38,drew
37,38,driver
28,38,fare
28,38,farthing
23,38,holding
37,38,mr
37,38,pickwick
33,38,said
28,38,shilling
25,38,shoulder
23,38,threw
37,38,tupman
16,39,allowed
33,39,astonishment
8,39,authority
4,39,learned
32,39,man
38,39,mr
38,39,pickwick
1,39,pleasure
7,39,requested
8,39,terms
38,39,tupman
38,40,said
37,40,snodgrass
37,41,rip_van
40,41,said
37,41,winkle
39,42,pickwick
41,42,said
39,42,tupman
36,43,cab
36,43,come
38,43,driver
36,43,go
42,43,said
23,44,being
12,44,coachmen
37,44,crowded
23,44,great
25,44,shouted
37,44,vehicles
10,45,black
23,45,buttons
25,45,cotton
10,45,frilled
20,45,gentleman
10,45,grey
31,45,inquired
25,45,jacket
10,45,peeling
10,45,red
23,45,sleeves
10,45,white
23,45,woollen
32,46,answered
25,46,number
32,46,replied
46,47,number
42,47,pickwick
43,47,said
42,47,tupman
46,47,want
46,48,cabman
12,48,give
43,48,go
45,48,inquired
36,48,take
48,49,give
48,49,go
39,49,mr
47,49,pickwick
47,49,said
48,49,take
47,49,tupman
36,50,added
37,50,answer
37,50,book
43,50,cab
43,50,come
36,50,continued
23,50,dark
43,50,driver
49,50,go
37,50,letter
23,50,light
39,50,man
49,50,mr
37,50,note
47,50,number
49,50,pickwick
36,50,returned
12,50,says
49,50,take
12,50,that's
