node_id,tokens,ord
1,"after, appear, assiduity, attention, before, beholder, belief, brilliancy, career, careful, cloud, club, conducted, confided, contrast, contrasted, converts, creator, dark, dazzling, derived, dim, discrimination, divine, documents, earlier, editor, entry, exquisite, feels, first, foliage, following, gleam, glitter, gloom, highest, history, immortal, indefatigable, involved, landscape, last, laying, light, multifarious, nice, obscurity, omnipotent, papers, perusal, pickwick, pleasure, pointed_out, proof, public, rainbow, ray, readers, search, shade, shades, time, tinged, tint, tints, transactions, translucent, tupman, untinctured, windless",1
2,"agreed, club, following, joseph, member, perpetual, pickwick, presiding, resolutions, tupman, vacuity",2
3,"accessory, approval, association, basis, chairman, club, communicated, conveyed, entitled, ethical, feelings, general, hampstead, heard, member, moral, observations, paper, patrick, pickwick, ponds, practical, product, read, return, said, same, samuel, satisfaction, science, source, speculations, thanks, theory, tupman, unmingled, unqualified, warmest",3
4,"accrue, advancement, advantages, adverted, association, attainment, benefits, brixton, camberwell, carrying, cause, complete, conform, diffusion, enlarging, estimate, ethical, experience, extending, feeling, field, functions, highgate, inestimable, inferior, influence, institutions, knowledge, learned, learning, literature, lively, man, observation, patrick, perfectibility, physiological, pickwick, product, production, purposes, regulated, requirements, researches, resources, result, samuel, science, scientific, sense, sensible, speculations, sphere, survival, system, travels, tupman, unremitted, unwearied, usefulness, wider",4
5,"aforesaid, already, association, branch, club, consideration, corresponding, emanating, forming, given, gratifications, mentioned, named, new, other, partaker, patrick, pickwick, proposal, samuel, scheme, serious, society, taken, title, tupman, united, view",5
6,"approval, association, coincide, proposal, received, said, sanction",6
7,"accounts, adventures, after, appointed, assignment, associations, authenticated, character, club, commercial, constituted, corresponding, day, executive, firms, first, give, investigations, journeys, last, local, majority, make, manners, members, nathaniel, nominated, northern_pacific, observations, ovation, papers, patrick, pickwick, rafalsky, reform_association, requested, rip_van, rise, same, samuel, scenery, snodgrass, society, state_treasurer, stationed, take, tales, time, tupman, whole, winkle",7
8,"after, association, authority, corresponding, day, expenses, external_circumstances, first, inquiries, last, length, majority, member, members, morality, objection, overruling, own, paying, principle, pursuing, recognises, said, same, sees, society, terms, time, travelling",8
9,"acquiescence, aforesaid, association, be, being, carriage, considers, corresponding, deliberated, emanated, great, informed, letters, majority, members, minds, parcels, pay, perfect, postage, proposal, signifies, simple, society, such, worthy",9
10,"above, account, additional, addressed, adds, admiration, after, agitated, air, all, angle, animation, arching, ardent, ardour, area, artist, assist, attachments, awe, bald, bald_head, basis, beamed, beaming, beard, become, beeches, being, beneath, black, blaze, blue, bluest, borders, boy, brain, brass_buttons, breeches, brightness, brilliance, bristly, broad, broad_brimmed, brow, brown, brownish, burst, buttercups, buttoned, buttons, call, calm, calmness, canine, cap, capacious, casual, chain, chair, change, cheek, chin, chips, circular, cloak, closely_cropped, cloth, clothed, clouds, club, clumps, coat, collar, communicating, complacency, concealed, coral, could, countenance, cravat, dark, darkened, day, days, declamation, deep, deepening, destined, developed, devotion, diameter, did, disappeared, discoveries, drabs, elevated, eloquent, encroached, enthusiasm, enveloped, ethical, excessive, exciting, expanded, experience, expression, extraordinary, eyebrows, eyes, face, failings, fair, fairfield, feeding, fir, first, fitted, flowing, fluttering, followers, following, foreground, forehead, form, former, formulas, found, founded, frilled, frosty, full, gaiters, genuine, gigantic, glasses, glistening, glittering, glories, glowed, glowing, gold, gold_lace, great, green, grey, grey_hair, had, hampstead, hand, hat, head, hear, high, historical, holding, hose, hue, human, illustrious, impetuous_torrent, inch, indebted, indeed, ingenuous, inmost, inspired, interesting, intersected, involuntary, jack_boots, jacket, jar, jets, justly, knee_breeches, knew, knowledge, known, lace, laced, lacquered, lank, last, latter, lavender, leader, leather_breeches, leaved, leaves, left, lichen, life, limestone, literature, looked, love, lustre, lustrous, luxuriance, man, mantling, mass, massed, maturer, men, mighty, misty, moral, mountain, mountain_ash, mounted, moustache, mr, muslin, mysterious, neckerchief, necklaces, new, night, nose, notes, obscurely, observation, observer, ocean, ocean's, one, or, ordinary, other, pantaloons, pardonable, participate, passed, passion, pasteboard, peeling, perfections, perhaps, perils, pickwick, pink, plaid, poetic, ponds, position, powdered, practical, present, product, purple, purples, qualities, radiant, range, rapturous, reading, recesses, red, regard, remarked, repressed, resolutions, respect, revealing, ribbons, rip_van, rippling, rocks, romantic, ruling, salads, sandy_hair, sat, satin, scene, science, scientific, seated, secretary, self, semicircular, serrated, sex, share, shining, shirt, shirt_collar, shirt_fronts, shooting, shrouded, sight, silk, silk_stockings, silver, simultaneous, skin, sleeves, smoked, snodgrass, social, solitary, soul, source, sparkled, specimen, spectacle, spectacles, spirit, sporting, starting, stood, streams, stubbly, study, sun_shone, sunset, superadded, surrounded, surrounding, susceptible, swaying, sweeps, tails, tartan, theory, there, three_cornered, tights, time, tint, tints, tower, traced, transparent, travels, trousers, tupman, turned, twinkled, twinkling, unbounded, unfurling, unmoved, use, utterance, vanity, veiled, velvet, veneration, vest, virtue, vision, vivacity, volunteered, waist, waistcoat, was, watch, watch_chain, waters, waved, waves, waving, weaknesses, white, winds, windsor, winkle, wisdom, woollen, working, world, worldly, worsted_stockings, years, yellow",10
